Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_Z64NEPNE	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_Z3AB3KMP	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_KQRAHH6Y	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_RWJ0571Q	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_X6H86RTA	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_1Q524P3B	Signature.3	0.21240522927010602	HGAT	WGS	531.2254784045351	3088286401	0.17201302257216886
BS_HYKV2TH9	Signature.3	0.10090142379503285	HGAT	WGS	122.99883560614504	3088286401	0.0398275352850427
BS_YHXMYDBN	Signature.3	0.10578720146374256	HGAT	WGS	28.245182790819264	3088286401	0.009145907834737529
BS_3VKW5988	Signature.3	0.07864699632048863	HGAT	WGS	48.52519672974149	3088286401	0.015712660818643254
BS_JRFVST47	Signature.3	0.41091324100506316	HGAT	WGS	1211.3722344829262	3088286401	0.3922473751432765
BS_AF5D41PD	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_TQ0J7WJQ	Signature.3	0.11666912436853707	HGAT	WGS	148.16978794804209	3088286401	0.04797799449560899
BS_CGXTFM67	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_YZD4SSMA	Signature.3	0.1816068649658874	HGAT	WGS	1260.5332497282245	3088286401	0.4081659166455736
BS_HEJ72V3F	Signature.3	0.18479290447870597	HGAT	WGS	48.41574097342097	3088286401	0.015677218588840643
BS_4DQAQFQH	Signature.3	0.0824191443410907	HGAT	WGS	170.0306947756701	3088286401	0.055056647181625853
BS_BQ81D2BP	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_1MME7FBS	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_X5VN0FW0	Signature.3	0.1538790052727814	HGAT	WGS	386.8518192557724	3088286401	0.1252642303934338
BS_0ATJ22QA	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_H8NWA41N	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_8SYN7GXG	Signature.3	0.21637610672694985	HGAT	WGS	761.4275195721365	3088286401	0.24655340234169446
BS_3Z40EZHD	Signature.3	0.36693580848764384	HGAT	WGS	906.698382772968	3088286401	0.2935927129295312
BS_NNFDFAFM	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_682Z7WH6	Signature.3	0.13047816792598227	HGAT	WGS	216.33280242127861	3088286401	0.07004946249519771
BS_J8EH1N7V	Signature.3	0.20948473164079193	HGAT	WGS	310.4563722916536	3088286401	0.10052706646350111
BS_D6STCMQS	Signature.3	0.20447917638267016	HGAT	WGS	581.5387776323139	3088286401	0.188304678427496
BS_R6CKWZW6	Signature.3	0.15849789232625164	HGAT	WGS	23.140692279632738	3088286401	0.007493052545949005
BS_CBMAWSAR	Signature.3	0.144361351444452	HGAT	WGS	280.3497445051258	3088286401	0.09077841498584696
BS_J8EK6RNF	Signature.3	0.1635379241914417	HGAT	WGS	429.7776647751088	3088286401	0.13916379796768363
BS_9P4NDTKJ	Signature.3	0.16399347366710093	HGAT	WGS	483.28876689694647	3088286401	0.15649091571962223
BS_22VCR7DF	Signature.3	0.16502600558030606	HGAT	WGS	466.0334397587843	3088286401	0.15090356892025325
BS_Q6GVRAWK	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_EE73VE7V	Signature.3	0.35205724007498557	HGAT	WGS	36.26189572772351	3088286401	0.011741752874986517
BS_7PF3C1P7	Signature.3	0.10437192503084614	HGAT	WGS	165.32512924886026	3088286401	0.053532965464384165
BS_6JBE0947	Signature.3	0.18868039619145113	HGAT	WGS	65.47209747843354	3088286401	0.021200137868441674
BS_VXDGXQKZ	Signature.3	0.09517240755498936	HGAT	WGS	134.57378428275496	3088286401	0.04357555187860148
BS_ZSH09N84	Signature.3	0.1290344844087889	HGAT	WGS	250.8430376906856	3088286401	0.08122402041775063
BS_QZRP3NSG	Signature.3	0.4598772349882045	HGAT	WGS	206.0250012747156	3088286401	0.06671175354980155
BS_DVDT4VXQ	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_Y74XAFJX	Signature.3	0.2665100803410783	HGAT	WGS	54.1015463092389	3088286401	0.01751830603914216
BS_5968GBGT	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_M0B42FPR	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_AHAXPFG3	Signature.3	0.17407072375867033	HGAT	WGS	47.69537830987567	3088286401	0.01544396215792412
BS_7GKF6M85	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_FK3B5SDH	Signature.3	0.07788805976101415	HGAT	WGS	26.87138061754988	3088286401	0.008701064968860667
BS_M5FM63EB	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_AK9BV52G	Signature.3	0.12406559554676275	HGAT	WGS	332.3717304697774	3088286401	0.10762335072360972
BS_B4PPG3X5	Signature.3	0.0689177659855966	HGAT	WGS	58.37334778980032	3088286401	0.018901533151491
BS_QFH9XM6Q	Signature.3	0.14808484233364946	HGAT	WGS	258.55613471455194	3088286401	0.08372155336073442
BS_4DYW3T2A	Signature.3	0.11361801757102169	HGAT	WGS	17.838028758650406	3088286401	0.005776028011156731
BS_7G3AFSCR	Signature.3	0.08925022921600377	HGAT	WGS	76.75519712576325	3088286401	0.024853652530707513
BS_JD05XR6E	Signature.3	0.11730767826237534	HGAT	WGS	213.38266675926076	3088286401	0.06909419627990673
BS_VCE73HPW	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_G65EA38C	Signature.3	0.21886175748578415	HGAT	WGS	34.36129592526811	3088286401	0.011126330742557354
BS_DRVEFVQ5	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_4PM2QG9C	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_CD7AXQM8	Signature.3	0.3764821046730238	HGAT	WGS	5.647231570095357	3088286401	0.0018285971042927755
BS_38CD519Z	Signature.3	0.10738912272816299	HGAT	WGS	111.1477420236487	3088286401	0.03599010182075685
BS_0AK4F99X	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_169P1QCA	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_Y96RP1HJ	Signature.3	0.17191607703561756	HGAT	WGS	36.961956562657775	3088286401	0.011968435489237443
BS_JDZX545X	Signature.3	0.15929613903172185	HGAT	WGS	218.23571047345894	3088286401	0.07066563204850214
BS_2NDRETB2	Signature.3	0.25165909772757683	HGAT	WGS	240.58609742756346	3088286401	0.0779027804382588
BS_2X60Q1ET	Signature.3	0.129532494003528	HGAT	WGS	10.362599520282242	3088286401	0.0033554528870530886
BS_5Z0GA574	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_B19AWBBW	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_Z64NEPNE	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_Z3AB3KMP	Signature.3	0.08111816566139696	HGAT	WGS	137.73864529305203	3088286401	0.04460034705604107
BS_KQRAHH6Y	Signature.3	0.13127182424522107	HGAT	WGS	22.710025594423247	3088286401	0.007353600879461713
BS_RWJ0571Q	Signature.3	0.07006172032882685	HGAT	WGS	188.1857808032289	3088286401	0.0609353396570647
BS_X6H86RTA	Signature.3	0.09826417404858276	HGAT	WGS	13.069135148461507	3088286401	0.004231840396742241
BS_1Q524P3B	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_HYKV2TH9	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_YHXMYDBN	Signature.4	0.1209415989110848	HGAT	WGS	32.29140690925964	3088286401	0.01045609205765487
BS_3VKW5988	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_JRFVST47	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_AF5D41PD	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_TQ0J7WJQ	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_CGXTFM67	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_YZD4SSMA	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_HEJ72V3F	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_4DQAQFQH	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_BQ81D2BP	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_1MME7FBS	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_X5VN0FW0	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_0ATJ22QA	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_H8NWA41N	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_8SYN7GXG	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_3Z40EZHD	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_NNFDFAFM	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_682Z7WH6	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_J8EH1N7V	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_D6STCMQS	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_R6CKWZW6	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_CBMAWSAR	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_J8EK6RNF	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_9P4NDTKJ	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_22VCR7DF	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_Q6GVRAWK	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_EE73VE7V	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_7PF3C1P7	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_6JBE0947	Signature.4	0.17382901317721156	HGAT	WGS	60.31866757249241	3088286401	0.019531435799788832
BS_VXDGXQKZ	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_ZSH09N84	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_QZRP3NSG	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_DVDT4VXQ	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_Y74XAFJX	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_5968GBGT	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_M0B42FPR	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_AHAXPFG3	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_7GKF6M85	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_FK3B5SDH	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_M5FM63EB	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_AK9BV52G	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_B4PPG3X5	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_QFH9XM6Q	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_4DYW3T2A	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_7G3AFSCR	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_JD05XR6E	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_VCE73HPW	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_G65EA38C	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_DRVEFVQ5	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_4PM2QG9C	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_CD7AXQM8	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_38CD519Z	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_0AK4F99X	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_169P1QCA	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_Y96RP1HJ	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_JDZX545X	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_2NDRETB2	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_2X60Q1ET	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_5Z0GA574	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_B19AWBBW	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_Z64NEPNE	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_Z3AB3KMP	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_KQRAHH6Y	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_RWJ0571Q	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_X6H86RTA	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_1Q524P3B	Signature.5	0.10260810829391195	HGAT	WGS	256.6228788430738	3088286401	0.08309555705713637
BS_HYKV2TH9	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_YHXMYDBN	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_3VKW5988	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_JRFVST47	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_AF5D41PD	Signature.5	0.23376721299047	HGAT	WGS	219.0398785720704	3088286401	0.07092602502836019
BS_TQ0J7WJQ	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_CGXTFM67	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_YZD4SSMA	Signature.5	0.1411829544375599	HGAT	WGS	979.9508867511033	3088286401	0.3173121788295902
BS_HEJ72V3F	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_4DQAQFQH	Signature.5	0.21483684247428006	HGAT	WGS	443.20840602443974	3088286401	0.14351272792605213
BS_BQ81D2BP	Signature.5	0.19119992510808617	HGAT	WGS	110.5135567124738	3088286401	0.03578474997548448
BS_1MME7FBS	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_X5VN0FW0	Signature.5	0.15089834748860254	HGAT	WGS	379.35844558634676	3088286401	0.12283784478781143
BS_0ATJ22QA	Signature.5	0.1150254655944201	HGAT	WGS	147.80772328882983	3088286401	0.04786075645088133
BS_H8NWA41N	Signature.5	0.17004290777319978	HGAT	WGS	242.9913152079025	3088286401	0.07868159997376568
BS_8SYN7GXG	Signature.5	0.06397523408050458	HGAT	WGS	225.1288487292956	3088286401	0.07289765892709885
BS_3Z40EZHD	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_NNFDFAFM	Signature.5	0.1291341401860535	HGAT	WGS	175.23502823247458	3088286401	0.05674183203207214
BS_682Z7WH6	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_J8EH1N7V	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_D6STCMQS	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_R6CKWZW6	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_CBMAWSAR	Signature.5	0.1007126403437136	HGAT	WGS	195.58394754749182	3088286401	0.06333089686376268
BS_J8EK6RNF	Signature.5	0.3314263745842458	HGAT	WGS	870.9885124073979	3088286401	0.2820297081661106
BS_9P4NDTKJ	Signature.5	0.27218780010973265	HGAT	WGS	802.1374469233821	3088286401	0.2597354463833557
BS_22VCR7DF	Signature.5	0.0829086412270215	HGAT	WGS	234.13400282510872	3088286401	0.07581356533166586
BS_Q6GVRAWK	Signature.5	0.10155148019331073	HGAT	WGS	96.27080322325857	3088286401	0.03117288707164131
BS_EE73VE7V	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_7PF3C1P7	Signature.5	0.1848863501917927	HGAT	WGS	292.85997870379964	3088286401	0.09482928092710909
BS_6JBE0947	Signature.5	0	HGAT	WGS	0	3088286401	0
