Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_KHJMCFQR	Signature.8	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.9	0.06844830581923096	HGAT	WXS	5.955002606273093	149089890	0.03994236367250049
BS_XNYH7VK6	Signature.9	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.9	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.9	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.9	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.9	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.9	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.9	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.9	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.9	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.9	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.9	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.10	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.10	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.10	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.10	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.10	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.10	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.10	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.10	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.10	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.10	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.10	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.10	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.11	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.11	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.11	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.11	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.11	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.11	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.11	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.11	0.08883737658617825	HGAT	WXS	7.195827503480438	149089890	0.04826502657880047
BS_QF7M4SHH	Signature.11	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.11	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.11	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.11	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.12	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.12	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.12	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.12	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.12	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.12	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.12	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.12	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.12	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.12	0.13458578766875828	HGAT	WXS	6.325532020431639	149089890	0.04242763892596366
BS_JC7E55BV	Signature.12	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.12	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.13	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.13	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.13	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.13	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.13	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.13	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.13	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.13	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.13	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.13	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.13	0.25552363461312694	HGAT	WGS	21.71950894211579	3088286401	0.007032867461736361
BS_KHJMCFQR	Signature.13	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.14	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.14	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.14	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.14	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.14	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.14	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.14	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.14	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.14	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.14	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.14	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.14	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.15	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.15	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.15	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.15	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.15	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.15	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.15	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.15	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.15	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.15	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.15	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.15	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.16	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.16	0.13615053360974508	HGAT	WXS	15.385010297901195	149089890	0.10319284760288705
BS_X0KN4VVW	Signature.16	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.16	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.16	0.117421990848536	HGAT	WXS	12.564153020793352	149089890	0.08427233409853178
BS_2DNGDW0A	Signature.16	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.16	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.16	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.16	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.16	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.16	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.16	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.17	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.17	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.17	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.17	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.17	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.17	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.17	0	HGAT	WXS	0	149089890	0
